frame,time,left_density,right_density,total_density
457,18.28,11,11,22
458,18.32,11,10,21
459,18.36,11,10,21
460,18.4,11,11,22
461,18.44,11,11,22
462,18.48,10,11,21
463,18.52,12,10,22
464,18.56,11,10,21
465,18.6,11,10,21
466,18.64,12,10,22
467,18.68,11,9,20
468,18.72,12,9,21
469,18.76,12,9,21
470,18.8,12,10,22
471,18.84,12,10,22
472,18.88,12,8,20
473,18.92,13,9,22
474,18.96,13,9,22
475,19.0,12,10,22
476,19.04,12,8,20
477,19.08,13,9,22
478,19.12,13,9,22
479,19.16,13,9,22
480,19.2,13,8,21
481,19.24,13,8,21
482,19.28,14,9,23
483,19.32,14,9,23
484,19.36,15,9,24
485,19.4,15,9,24
486,19.44,13,9,22
487,19.48,14,10,24
488,19.52,14,10,24
489,19.56,14,10,24
490,19.6,14,10,24
491,19.64,13,11,24
492,19.68,13,11,24
493,19.72,13,11,24
494,19.76,13,11,24
495,19.8,13,11,24
496,19.84,13,11,24
497,19.88,13,11,24
498,19.92,13,11,24
499,19.96,14,10,24
500,20.0,13,10,23
501,20.04,13,10,23
502,20.08,13,10,23
503,20.12,13,10,23
504,20.16,13,11,24
505,20.2,15,11,26
506,20.24,14,11,25
507,20.28,14,11,25
508,20.32,14,10,24
509,20.36,14,11,25
510,20.4,13,11,24
511,20.44,12,11,23
512,20.48,11,12,23
513,20.52,12,12,24
514,20.56,11,12,23
515,20.6,11,12,23
516,20.64,11,11,22
517,20.68,11,11,22
518,20.72,11,11,22
519,20.76,11,11,22
520,20.8,11,11,22
521,20.84,11,10,21
522,20.88,11,11,22
523,20.92,11,11,22
524,20.96,11,11,22
525,21.0,11,11,22
526,21.04,11,11,22
527,21.08,11,11,22
528,21.12,11,10,21
529,21.16,11,10,21
530,21.2,11,10,21
531,21.24,11,10,21
532,21.28,11,10,21
533,21.32,11,10,21
534,21.36,11,10,21
535,21.4,11,12,23
536,21.44,11,12,23
537,21.48,11,12,23
538,21.52,12,12,24
539,21.56,11,13,24
540,21.6,11,10,21
541,21.64,11,11,22
542,21.68,9,11,20
543,21.72,9,11,20
544,21.76,10,11,21
545,21.8,8,11,19
546,21.84,9,10,19
547,21.88,9,12,21
548,21.92,9,12,21
549,21.96,9,12,21
550,22.0,9,12,21
551,22.04,9,12,21
552,22.08,8,13,21
553,22.12,8,13,21
554,22.16,7,13,20
555,22.2,7,13,20
556,22.24,7,11,18
557,22.28,7,11,18
558,22.32,7,11,18
559,22.36,7,11,18
560,22.4,7,11,18
561,22.44,8,11,19
562,22.48,8,12,20
563,22.52,8,11,19
564,22.56,7,11,18
565,22.6,7,10,17
566,22.64,7,10,17
567,22.68,8,10,18
568,22.72,8,10,18
569,22.76,8,10,18
570,22.8,8,9,17
571,22.84,8,9,17
572,22.88,8,10,18
573,22.92,8,10,18
574,22.96,8,10,18
575,23.0,8,10,18
576,23.04,7,10,17
577,23.08,8,10,18
578,23.12,8,10,18
579,23.16,8,10,18
580,23.2,9,11,20
581,23.24,9,11,20
582,23.28,9,11,20
583,23.32,9,11,20
584,23.36,9,12,21
585,23.4,8,12,20
586,23.44,8,12,20
587,23.48,8,12,20
588,23.52,8,12,20
589,23.56,9,12,21
590,23.6,9,12,21
591,23.64,9,12,21
592,23.68,9,12,21
593,23.72,9,12,21
594,23.76,9,12,21
595,23.8,7,12,19
596,23.84,8,12,20
597,23.88,7,12,19
598,23.92,7,12,19
599,23.96,7,11,18
600,24.0,7,12,19
601,24.04,7,12,19
602,24.08,8,12,20
603,24.12,8,12,20
604,24.16,8,12,20
605,24.2,8,12,20
606,24.24,8,11,19
607,24.28,8,11,19
608,24.32,8,11,19
609,24.36,9,11,20
610,24.4,9,11,20
611,24.44,9,11,20
612,24.48,9,11,20
613,24.52,9,11,20
614,24.56,10,12,22
615,24.6,10,12,22
616,24.64,10,12,22
617,24.68,10,11,21
618,24.72,10,11,21
619,24.76,10,11,21
620,24.8,10,11,21
621,24.84,10,11,21
622,24.88,11,11,22
623,24.92,11,11,22
624,24.96,11,11,22
625,25.0,11,11,22
626,25.04,11,11,22
627,25.08,11,11,22
628,25.12,9,11,20
629,25.16,10,11,21
630,25.2,10,12,22
631,25.24,10,12,22
632,25.28,10,12,22
633,25.32,10,12,22
634,25.36,10,12,22
635,25.4,10,12,22
636,25.44,10,12,22
637,25.48,11,13,24
638,25.52,11,13,24
639,25.56,11,12,23
640,25.6,11,12,23
641,25.64,11,11,22
642,25.68,11,11,22
643,25.72,11,10,21
644,25.76,11,11,22
645,25.8,12,11,23
646,25.84,12,12,24
647,25.88,12,13,25
648,25.92,12,12,24
649,25.96,11,12,23
650,26.0,11,12,23
651,26.04,11,14,25
652,26.08,11,14,25
653,26.12,11,13,24
654,26.16,11,13,24
655,26.2,11,13,24
656,26.24,11,13,24
657,26.28,11,13,24
658,26.32,11,13,24
659,26.36,11,13,24
660,26.4,11,13,24
661,26.44,11,12,23
662,26.48,11,12,23
663,26.52,11,14,25
664,26.56,11,14,25
665,26.6,11,12,23
666,26.64,11,13,24
667,26.68,11,13,24
668,26.72,12,13,25
669,26.76,12,13,25
670,26.8,11,14,25
671,26.84,11,14,25
672,26.88,11,14,25
673,26.92,11,14,25
674,26.96,11,15,26
675,27.0,11,14,25
676,27.04,11,14,25
677,27.08,11,14,25
678,27.12,11,15,26
679,27.16,11,15,26
680,27.2,11,15,26
681,27.24,11,15,26
682,27.28,11,15,26
683,27.32,10,15,25
684,27.36,10,15,25
685,27.4,10,15,25
686,27.44,10,14,24
687,27.48,10,14,24
688,27.52,10,14,24
689,27.56,10,14,24
690,27.6,10,12,22
691,27.64,10,13,23
692,27.68,10,13,23
693,27.72,11,13,24
694,27.76,11,14,25
695,27.8,11,14,25
696,27.84,11,15,26
697,27.88,11,16,27
698,27.92,12,15,27
699,27.96,12,16,28
700,28.0,11,16,27
701,28.04,12,15,27
702,28.08,10,15,25
703,28.12,10,14,24
704,28.16,10,14,24
705,28.2,11,15,26
706,28.24,9,15,24
707,28.28,9,14,23
708,28.32,10,14,24
709,28.36,9,14,23
710,28.4,9,14,23
711,28.44,9,14,23
712,28.48,9,14,23
713,28.52,9,15,24
714,28.56,9,14,23
715,28.6,9,14,23
716,28.64,9,14,23
717,28.68,9,15,24
718,28.72,10,15,25
719,28.76,10,12,22
720,28.8,10,13,23
721,28.84,10,14,24
722,28.88,10,13,23
723,28.92,10,13,23
724,28.96,10,13,23
725,29.0,10,13,23
726,29.04,10,13,23
727,29.08,10,13,23
728,29.12,10,13,23
729,29.16,9,13,22
730,29.2,9,13,22
731,29.24,9,14,23
732,29.28,9,14,23
733,29.32,9,12,21
734,29.36,9,12,21
735,29.4,9,11,20
736,29.44,9,11,20
737,29.48,9,11,20
738,29.52,10,11,21
739,29.56,9,11,20
740,29.6,9,11,20
741,29.64,10,11,21
742,29.68,10,11,21
743,29.72,10,11,21
744,29.76,9,12,21
745,29.8,9,11,20
746,29.84,9,12,21
747,29.88,9,12,21
748,29.92,9,10,19
749,29.96,9,11,20
750,30.0,9,11,20
751,30.04,9,10,19
752,30.08,10,10,20
753,30.12,10,11,21
754,30.16,10,11,21
755,30.2,10,11,21
756,30.24,9,11,20
757,30.28,9,11,20
758,30.32,9,11,20
759,30.36,8,10,18
760,30.4,8,11,19
761,30.44,8,11,19
762,30.48,8,11,19
763,30.52,8,11,19
764,30.56,8,11,19
765,30.6,7,11,18
766,30.64,8,11,19
767,30.68,8,11,19
768,30.72,8,12,20
769,30.76,8,11,19
770,30.8,8,11,19
771,30.84,9,11,20
772,30.88,9,11,20
773,30.92,10,12,22
774,30.96,10,12,22
775,31.0,10,12,22
776,31.04,10,11,21
777,31.08,10,11,21
778,31.12,10,11,21
779,31.16,10,9,19
780,31.2,10,9,19
781,31.24,10,9,19
782,31.28,10,10,20
783,31.32,10,10,20
784,31.36,10,9,19
785,31.4,10,9,19
786,31.44,10,9,19
787,31.48,10,9,19
788,31.52,10,9,19
789,31.56,10,9,19
790,31.6,10,9,19
791,31.64,8,9,17
